start_node,end_node,preprocessing_time_ms,execution_time_ms,explored_nodes,shortest_distance,memory_usage_bytes
94,3,173.76419994980097,0.16469997353851795,8,,6320
7,17,173.76419994980097,3.443499968852848,106,3,18616
81,62,173.76419994980097,4.328800016082823,136,4,24888
30,16,173.76419994980097,0.5053000058978796,11,1,10872
18,47,173.76419994980097,0.5033000488765538,29,,7520
79,81,173.76419994980097,1.7934999777935445,95,,13856
26,74,173.76419994980097,2.3178999545052648,76,3,16880
51,11,173.76419994980097,3.72179999249056,114,3,21456
64,75,173.76419994980097,1.5682000084780157,74,,12760
57,54,173.76419994980097,2.002199995331466,88,,10688
4,55,173.76419994980097,0.8975000237114727,48,,9592
91,60,173.76419994980097,2.969800028949976,105,4,16064
63,73,173.76419994980097,1.1577000259421766,57,,11664
75,63,173.76419994980097,2.6369999977760017,104,5,15488
67,12,173.76419994980097,2.103600010741502,90,,12760
37,18,173.76419994980097,2.312100026756525,79,3,14648
6,79,173.76419994980097,1.1158999986946583,28,2,12704
1,68,173.76419994980097,2.025800000410527,67,3,14928
2,30,173.76419994980097,1.603500044438988,80,,10688
49,20,173.76419994980097,2.1146999788470566,95,,16832
77,92,173.76419994980097,1.8626999808475375,90,,12760
47,72,173.76419994980097,2.5904999929480255,82,3,18520
24,91,173.76419994980097,1.729800016619265,84,,12760
69,88,173.76419994980097,2.373900031670928,82,3,15744
67,34,173.76419994980097,1.8922999734058976,86,,12760
53,22,173.76419994980097,2.0174000528641045,100,,13856
24,95,173.76419994980097,1.164899964351207,42,3,15200
41,55,173.76419994980097,2.4284000392071903,77,3,14360
56,5,173.76419994980097,2.1926999907009304,60,2,16416
61,1,173.76419994980097,2.1850999910384417,103,14,19384
26,60,173.76419994980097,2.0079000387340784,103,12,12760
71,49,173.76419994980097,1.6398999723605812,76,,12760
43,48,173.76419994980097,0.43979997280985117,24,,8136
49,51,173.76419994980097,1.6579999937675893,80,,15912
13,23,173.76419994980097,0.8520000264979899,48,,9312
72,50,173.76419994980097,2.739100018516183,105,5,14072
25,17,173.76419994980097,2.315100049600005,58,2,21904
76,4,173.76419994980097,1.6122000524774194,45,2,16728
32,16,173.76419994980097,1.5645999810658395,69,,11664
43,23,173.76419994980097,0.4708999767899513,27,,8776
26,20,173.76419994980097,1.0941000073216856,58,,9592
46,28,173.76419994980097,2.786999975796789,109,7,19992
41,11,173.76419994980097,3.610100015066564,117,3,18840
79,61,173.76419994980097,1.2011000071652234,60,,10408
57,65,173.76419994980097,2.273599966429174,103,9,13176
61,92,173.76419994980097,1.276099996175617,35,2,15536
17,98,173.76419994980097,0.9030000073835254,44,,9592
1,48,173.76419994980097,2.22100003156811,94,,18336
51,19,173.76419994980097,2.434500027447939,112,8,22384
42,27,173.76419994980097,2.8986000106669962,109,4,15488
10,15,173.76419994980097,1.5894999960437417,74,,12760
22,20,173.76419994980097,1.312500040512532,65,,10688
31,44,173.76419994980097,3.116199979558587,100,3,21680
47,62,173.76419994980097,4.84350003534928,121,3,21680
31,28,173.76419994980097,2.5676999939605594,68,2,21904
47,42,173.76419994980097,1.9709999905899167,73,3,16728
99,27,173.76419994980097,2.554600010626018,78,3,15744
47,64,173.76419994980097,3.9920000126585364,136,4,18680
47,40,173.76419994980097,1.794799987692386,59,3,14168
36,22,173.76419994980097,2.3705000057816505,88,4,15488
97,39,173.76419994980097,1.3753999955952168,61,,9768
9,96,173.76419994980097,1.4797000330872834,70,,11664
72,1,173.76419994980097,1.0956000187434256,53,,9592
66,94,173.76419994980097,4.793600004632026,142,3,21904
72,57,173.76419994980097,1.4683000044897199,70,,11664
38,79,173.76419994980097,1.4155000098980963,60,,10408
89,47,173.76419994980097,0.6466000340878963,35,,9592
7,59,173.76419994980097,1.734199991915375,81,,12224
17,42,173.76419994980097,1.2940000160597265,63,,10688
94,31,173.76419994980097,0.05759997293353081,3,,5680
83,75,173.76419994980097,1.657599990721792,79,,12760
11,39,173.76419994980097,0.15580002218484879,10,,6320
93,58,173.76419994980097,2.5635999627411366,64,2,19032
47,84,173.76419994980097,3.981199988629669,117,3,21264
93,45,173.76419994980097,0.618399993982166,14,1,15000
49,82,173.76419994980097,2.062499988824129,91,,16832
84,97,173.76419994980097,1.0875000152736902,49,,9312
71,39,173.76419994980097,1.2728000292554498,54,,9768
0,77,173.76419994980097,1.09779997728765,53,,10280
69,99,173.76419994980097,0.9822999709285796,27,2,12256
21,88,173.76419994980097,2.0266000065021217,69,3,14296
51,13,173.76419994980097,2.7294999454170465,94,3,18520
97,63,173.76419994980097,3.3002999844029546,132,7,14528
66,37,173.76419994980097,1.927900011651218,48,2,17368
63,16,173.76419994980097,1.3195000356063247,61,,11664
21,90,173.76419994980097,2.049200003966689,71,3,16880
71,64,173.76419994980097,2.813300001434982,96,3,15616
54,74,173.76419994980097,0.5681000184267759,13,1,17680
67,74,173.76419994980097,0.9738000226207078,28,2,15152
36,28,173.76419994980097,3.2816000166349113,98,3,18904
76,70,173.76419994980097,2.2432999685406685,75,3,15648
12,88,173.76419994980097,2.4449999909847975,97,5,14040
13,74,173.76419994980097,2.302300010342151,75,3,16784
46,94,173.76419994980097,2.704199985601008,94,4,21048
93,78,173.76419994980097,2.551899990066886,111,7,22384
91,85,173.76419994980097,4.07000002451241,123,3,18840
19,29,173.76419994980097,2.4448000476695597,98,7,13560
10,13,173.76419994980097,2.0420000073499978,88,,12760
67,55,173.76419994980097,1.1431000311858952,58,,11664
43,12,173.76419994980097,1.9269000040367246,86,,12224
