tot nodes,start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte),path_weight
5000,2329,4777,558604.4640541077,1.1708736419677734,72,7278040,6465616,812424,30
5000,388,1096,558604.4640541077,1.3461112976074219,203,7276000,6465616,810384,46
5000,3380,4526,558604.4640541077,0.7829666137695312,42,7279168,6465616,813552,16
5000,389,1995,558604.4640541077,0.7071495056152344,42,7279696,6465616,814080,23
5000,3051,3338,558604.4640541077,0.6892681121826172,48,7279576,6465616,813960,-1
5000,3919,1160,558604.4640541077,0.6480216979980469,24,7280128,6465616,814512,-1
5000,623,2708,558604.4640541077,1.0099411010742188,108,7276960,6465616,811344,24
5000,4222,764,558604.4640541077,0.5841255187988281,17,7280320,6465616,814704,-1
5000,3419,4118,558604.4640541077,1.3167858123779297,181,7274560,6465616,808944,42
5000,4151,4395,558604.4640541077,0.8950233459472656,87,7278232,6465616,812616,56
5000,2679,11,558604.4640541077,0.7569789886474609,43,7278904,6465616,813288,24
5000,314,4895,558604.4640541077,1.0199546813964844,142,7277440,6465616,811824,28
5000,4350,4439,558604.4640541077,0.5769729614257812,12,7280440,6465616,814824,-1
5000,502,3122,558604.4640541077,0.74005126953125,64,7278952,6465616,813336,53
5000,337,3036,558604.4640541077,0.5939006805419922,13,7280392,6465616,814776,-1
5000,233,2880,558604.4640541077,0.7832050323486328,79,7278928,6465616,813312,-1
5000,1556,1509,558604.4640541077,0.7052421569824219,42,7278904,6465616,813288,24
5000,1621,4822,558604.4640541077,0.6921291351318359,38,7279432,6465616,813816,30
5000,4765,4291,558604.4640541077,1.0769367218017578,139,7275232,6465616,809616,31
5000,4045,1916,558604.4640541077,0.6251335144042969,20,7279648,6465616,814032,18
5000,1869,2445,558604.4640541077,0.7450580596923828,71,7278832,6465616,813216,33
5000,539,26,558604.4640541077,1.1019706726074219,188,7276264,6465616,810648,32
5000,2488,2283,558604.4640541077,0.7579326629638672,55,7278088,6465616,812472,26
5000,637,3092,558604.4640541077,0.7569789886474609,56,7278592,6465616,812976,25
5000,207,4338,558604.4640541077,0.576019287109375,17,7280296,6465616,814680,-1
5000,4307,4577,558604.4640541077,0.80108642578125,95,7278496,6465616,812880,-1
5000,203,904,558604.4640541077,0.8599758148193359,105,7277632,6465616,812016,41
5000,939,4202,558604.4640541077,0.6527900695800781,34,7279288,6465616,813672,23
5000,3712,4982,558604.4640541077,0.6949901580810547,43,7278952,6465616,813336,14
5000,4816,1055,558604.4640541077,0.843048095703125,109,7278184,6465616,812568,59
5000,2853,2365,558604.4640541077,0.8859634399414062,95,7277248,6465616,811632,32
5000,1691,3971,558604.4640541077,0.6997585296630859,63,7279216,6465616,813600,-1
5000,4001,2999,558604.4640541077,0.579833984375,19,7280272,6465616,814656,-1
5000,2170,1339,558604.4640541077,0.8897781372070312,91,7277008,6465616,811392,27
5000,3055,2210,558604.4640541077,0.5450248718261719,4,7280608,6465616,814992,-1
5000,2541,1729,558604.4640541077,0.6718635559082031,46,7279288,6465616,813672,39
5000,1979,1214,558604.4640541077,0.6020069122314453,26,7280080,6465616,814464,-1
5000,3487,237,558604.4640541077,0.5621910095214844,6,7280560,6465616,814944,-1
5000,2572,504,558604.4640541077,0.6902217864990234,49,7278904,6465616,813288,32
5000,1194,752,558604.4640541077,0.9100437164306641,112,7277344,6465616,811728,32
5000,2035,1511,558604.4640541077,1.0530948638916016,183,7276504,6465616,810888,19
5000,3595,2546,558604.4640541077,0.7398128509521484,68,7278496,6465616,812880,27
5000,249,2999,558604.4640541077,0.8401870727539062,106,7278328,6465616,812712,-1
5000,2167,3685,558604.4640541077,0.5800724029541016,19,7280248,6465616,814632,-1
5000,825,2967,558604.4640541077,0.8833408355712891,104,7277200,6465616,811584,25
5000,2451,842,558604.4640541077,0.7519721984863281,69,7278472,6465616,812856,40
5000,3922,214,558604.4640541077,0.8180141448974609,89,7277800,6465616,812184,25
