tot nodes,start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte),graph_name
50,16,29,24.533987045288086,0.04410743713378906,7,29376,19792,9584,Random_50
50,18,27,24.533987045288086,0.024080276489257812,8,29352,19792,9560,Random_50
50,44,46,24.533987045288086,0.019073486328125,5,29328,19792,9536,Random_50
50,35,42,24.533987045288086,0.0247955322265625,9,29208,19792,9416,Random_50
50,45,31,24.533987045288086,0.035762786865234375,16,29136,19792,9344,Random_50
50,9,12,24.533987045288086,0.019788742065429688,4,29280,19792,9488,Random_50
50,18,13,24.533987045288086,0.0171661376953125,6,29400,19792,9608,Random_50
50,3,37,24.533987045288086,0.01621246337890625,6,29376,19792,9584,Random_50
50,47,34,24.533987045288086,0.01811981201171875,7,29352,19792,9560,Random_50
50,3,47,24.533987045288086,0.015735626220703125,5,29352,19792,9560,Random_50
50,20,3,24.533987045288086,0.014066696166992188,5,29400,19792,9608,Random_50
50,3,37,24.533987045288086,0.0152587890625,6,29376,19792,9584,Random_50
50,30,32,24.533987045288086,0.015974044799804688,3,29280,19792,9488,Random_50
50,33,10,24.533987045288086,0.01621246337890625,6,29376,19792,9584,Random_50
50,3,32,24.533987045288086,0.030994415283203125,13,29208,19792,9416,Random_50
50,5,11,24.533987045288086,0.016927719116210938,7,29352,19792,9560,Random_50
50,4,38,24.533987045288086,0.03814697265625,16,29160,19792,9368,Random_50
50,4,43,24.533987045288086,0.032901763916015625,15,29160,19792,9368,Random_50
50,15,25,24.533987045288086,0.024080276489257812,9,29304,19792,9512,Random_50
50,7,36,24.533987045288086,0.030040740966796875,11,29136,19792,9344,Random_50
50,15,37,24.533987045288086,0.015020370483398438,5,29400,19792,9608,Random_50
50,38,2,24.533987045288086,0.026226043701171875,8,29208,19792,9416,Random_50
50,39,5,24.533987045288086,0.011920928955078125,4,29424,19792,9632,Random_50
50,26,42,24.533987045288086,0.015020370483398438,6,29376,19792,9584,Random_50
50,37,36,24.533987045288086,0.012636184692382812,3,29376,19792,9584,Random_50
50,33,20,24.533987045288086,0.015020370483398438,5,29400,19792,9608,Random_50
50,16,13,24.533987045288086,0.02002716064453125,7,29376,19792,9584,Random_50
50,42,45,24.533987045288086,0.012874603271484375,3,29352,19792,9560,Random_50
50,20,15,24.533987045288086,0.011920928955078125,4,29424,19792,9632,Random_50
50,16,25,24.533987045288086,0.030279159545898438,12,29256,19792,9464,Random_50
50,8,42,24.533987045288086,0.019788742065429688,8,29328,19792,9536,Random_50
50,41,19,24.533987045288086,0.02193450927734375,9,29304,19792,9512,Random_50
50,29,20,24.533987045288086,0.008821487426757812,2,29472,19792,9680,Random_50
50,48,4,24.533987045288086,0.010013580322265625,2,29424,19792,9632,Random_50
50,0,29,24.533987045288086,0.02193450927734375,9,29304,19792,9512,Random_50
50,39,36,24.533987045288086,0.019073486328125,8,29328,19792,9536,Random_50
50,6,4,24.533987045288086,0.030994415283203125,14,29184,19792,9392,Random_50
50,34,13,24.533987045288086,0.013113021850585938,4,29424,19792,9632,Random_50
50,32,16,24.533987045288086,0.027179718017578125,9,29208,19792,9416,Random_50
